binName	chr	binStart	binEnd	topHeight	topPos	start25	end25	start50	end50	start75	end75	peakHeight	readCounts25	readCounts50
chr1:85851232:85851272:+	chr1	85851232	85851272	5	85851254	85851232	85851272	85851232	85851266	85851232	85851266	5	5	5
chr1:85851335:85851383:+	chr1	85851297	85851399	25	85851363	85851335	85851383	85851349	85851380	85851355	85851366	25	25	25
chr1:85851511:85851548:+	chr1	85851509	85851574	12	85851536	85851511	85851548	85851523	85851548	85851523	85851543	12	12	12
chr1:85851462:85851508:+	chr1	85851462	85851508	7	85851486	85851462	85851508	85851466	85851498	85851478	85851498	8	10	10
chr1:85851437:85851461:+	chr1	85851417	85851461	6	85851457	85851437	85851461	85851437	85851461	85851444	85851461	6	5	5
chr1:85695622:85695644:-	chr1	85695621	85695644	19	85695634	85695622	85695644	85695623	85695643	85695624	85695643	19	19	19
chr1:85717422:85717454:-	chr1	85717408	85717467	31	85717428	85717422	85717454	85717422	85717454	85717426	85717447	31	30	30
chr1:85717958:85718000:-	chr1	85717927	85718002	17	85717984	85717958	85718000	85717966	85718000	85717966	85718000	19	17	17
chr1:85718121:85718158:-	chr1	85718119	85718175	5	85718148	85718121	85718158	85718123	85718158	85718123	85718153	5	5	5
chr1:85736965:85736984:-	chr1	85736964	85736984	6	85736975	85736965	85736984	85736965	85736984	85736965	85736984	6	6	6
chr1:85774793:85774815:-	chr1	85774792	85774816	28	85774806	85774793	85774815	85774794	85774815	85774795	85774815	28	28	28
chr1:85799374:85799398:-	chr1	85799373	85799398	5	85799388	85799374	85799398	85799375	85799398	85799376	85799398	5	5	5
chr1:85864565:85864608:-	chr1	85864520	85864612	123	85864594	85864565	85864608	85864585	85864605	85864586	85864605	123	129	129
chr1:85864618:85864644:-	chr1	85864618	85864658	9	85864630	85864618	85864644	85864618	85864644	85864618	85864643	9	9	9
chr15:36776856:36776877:+	chr15	36776856	36776877	6	36776864	36776856	36776877	36776856	36776877	36776856	36776872	6	6	6
chr15:36770824:36770887:-	chr15	36770824	36770903	7	36770849	36770824	36770887	36770836	36770856	36770836	36770856	8	8	8
chr15:36770790:36770823:-	chr15	36770787	36770823	5	36770805	36770790	36770823	36770790	36770823	36770792	36770816	6	6	6
chr15:36770931:36770979:-	chr15	36770928	36770981	5	36770971	36770931	36770979	36770936	36770979	36770957	36770979	6	8	8
chr15:36771044:36771086:-	chr15	36771037	36771086	27	36771059	36771044	36771086	36771049	36771073	36771054	36771070	27	27	27
chr15:36771130:36771204:-	chr15	36771126	36771213	6	36771148	36771130	36771204	36771131	36771154	36771140	36771154	6	8	8
chr15:36771275:36771359:-	chr15	36771274	36771361	15	36771316	36771275	36771359	36771292	36771352	36771301	36771320	17	31	31
chr15:36771362:36771397:-	chr15	36771362	36771399	14	36771384	36771362	36771397	36771376	36771397	36771377	36771394	14	14	14
chr15:36771400:36771441:-	chr15	36771400	36771458	10	36771421	36771400	36771441	36771401	36771434	36771414	36771424	11	10	10
chr15:36771537:36771578:-	chr15	36771537	36771590	11	36771558	36771537	36771578	36771537	36771569	36771544	36771567	11	11	11
chr15:36771597:36771664:-	chr15	36771594	36771669	12	36771615	36771597	36771664	36771598	36771639	36771609	36771639	14	18	18
chr15:36771698:36771756:-	chr15	36771698	36771769	8	36771726	36771698	36771756	36771698	36771730	36771702	36771730	8	8	8
chr15:36771800:36771843:-	chr15	36771781	36771872	30	36771821	36771800	36771843	36771805	36771835	36771808	36771827	30	31	31
chr15:36771999:36772039:-	chr15	36771993	36772051	47	36772015	36771999	36772039	36772005	36772031	36772007	36772022	47	47	47
chr15:36772144:36772175:-	chr15	36772139	36772176	46	36772164	36772144	36772175	36772144	36772175	36772151	36772170	46	45	45
chr15:36772107:36772138:-	chr15	36772098	36772138	35	36772123	36772107	36772138	36772107	36772135	36772111	36772129	35	35	35
chr15:36772177:36772221:-	chr15	36772177	36772223	21	36772197	36772177	36772221	36772177	36772211	36772189	36772205	22	21	21
chr15:36775284:36775319:-	chr15	36775278	36775319	30	36775295	36775284	36775319	36775286	36775314	36775286	36775299	30	30	30
chr15:36775543:36775579:-	chr15	36775517	36775579	8	36775566	36775543	36775579	36775557	36775579	36775564	36775579	8	8	8
chr15:36776253:36776321:-	chr15	36776246	36776321	65	36776278	36776253	36776321	36776256	36776311	36776274	36776307	68	107	107
chr15:36776343:36776370:-	chr15	36776333	36776372	18	36776354	36776343	36776370	36776343	36776369	36776346	36776369	18	17	17
chr15:36790696:36790731:-	chr15	36790684	36790731	11	36790708	36790696	36790731	36790702	36790719	36790702	36790714	11	10	10
chr15:36790752:36790833:-	chr15	36790740	36790836	12	36790800	36790752	36790833	36790763	36790827	36790795	36790822	14	21	21
chr15:36790956:36790989:-	chr15	36790931	36790990	22	36790964	36790956	36790989	36790956	36790985	36790956	36790977	22	22	22
chr15:36790852:36790902:-	chr15	36790838	36790909	16	36790874	36790852	36790902	36790852	36790890	36790868	36790883	17	19	19
chr15:36793483:36793516:-	chr15	36793481	36793527	25	36793502	36793483	36793516	36793483	36793505	36793483	36793503	25	25	25
chr15:36793528:36793568:-	chr15	36793528	36793570	5	36793550	36793528	36793568	36793538	36793568	36793541	36793568	6	6	6
